dates,AAPL,MSFT,AMZN,GOOG,FB,TSLA,GOOGL,NVDA,PYPL,ADBE,CMCSA,NFLX,INTC,CSCO,PEP,AVGO,TMUS,TXN,COST,QCOM,AMGN
01/01/2019,39.435,101.57,1501.97,1035.61,131.09,66.56,1044.96,133.5,84.09,226.24,34.05,267.66,46.93,43.33,110.48,254.28,63.4924,94.5,203.71,56.91,194.67
02/01/2019,39.48,101.12,1539.13,1045.85,135.68,62.024,1054.68,136.22,85.75,224.57,34.37,267.66,47.08,42.95,109.28,253.51,65.1393,94.45,204.76,57.4,191.9
03/01/2019,35.548,97.4,1500.28,1016.06,131.74,60.072,1025.47,127.99,82.09,215.7,34.64,271.2,44.49,41.07,108.26,230.96,64.8998,88.88,200.42,55.7,188.98
04/01/2019,37.065,101.93,1575.39,1070.71,137.95,63.538,1078.07,136.19,86.27,226.19,35.81,297.57,47.22,42.92,110.48,233.23,67.3652,92.9,206.24,56.6,195.44
05/01/2019,37.065,101.93,1575.39,1070.71,137.95,63.538,1078.07,136.19,86.27,226.19,35.81,297.57,47.22,42.92,110.48,233.23,67.3652,92.9,206.24,56.6,195.44
06/01/2019,37.065,101.93,1575.39,1070.71,137.95,63.538,1078.07,136.19,86.27,226.19,35.81,297.57,47.22,42.92,110.48,233.23,67.3652,92.9,206.24,56.6,195.44
07/01/2019,36.983,102.06,1629.51,1068.39,138.05,66.992,1075.92,143.4,86.93,229.26,35.43,315.34,47.44,43.21,109.53,237.98,68.3135,94.5,207,56.44,198.07
08/01/2019,37.688,102.8,1656.58,1076.28,142.53,67.07,1085.37,139.83,88.7,232.68,35.72,320.27,47.74,43.56,110.58,236.07,67.6447,94.38,208.55,55.95,200.61
09/01/2019,38.328,104.27,1659.42,1074.66,144.23,67.706,1081.65,142.58,89.55,235.43,36.06,319.96,48.01,43.32,107.49,246.28,67.5948,96.24,209.9,56.61,200.37
10/01/2019,38.45,103.6,1656.22,1070.33,144.2,68.994,1078.83,145.23,90.7,237.77,35.82,324.66,48.56,43.24,108.15,249.52,67.8343,97.72,210.64,56.8,202.68
11/01/2019,38.073,102.8,1640.56,1057.19,143.8,69.452,1064.47,148.83,90.65,237.55,35.63,337.59,48.93,43.49,108.16,250.57,68.8724,98.59,210.51,57.5,200.56
12/01/2019,38.073,102.8,1640.56,1057.19,143.8,69.452,1064.47,148.83,90.65,237.55,35.63,337.59,48.93,43.49,108.16,250.57,68.8724,98.59,210.51,57.5,200.56
13/01/2019,38.073,102.8,1640.56,1057.19,143.8,69.452,1064.47,148.83,90.65,237.55,35.63,337.59,48.93,43.49,108.16,250.57,68.8724,98.59,210.51,57.5,200.56
14/01/2019,37.5,102.05,1617.21,1044.69,145.39,66.88,1051.51,150.44,90.43,234.56,35.77,332.94,48.35,43.21,107.32,250.87,67.7844,96.33,209,57.3,196.78
15/01/2019,38.268,105.01,1674.56,1077.15,148.95,68.886,1086.51,149.87,91.6,242.36,35.83,354.64,48.6,44.02,108.99,256.49,67.0159,97.63,211.03,55.73,199.38
16/01/2019,38.735,105.38,1683.78,1080.97,147.54,69.21,1089.51,148.84,90.55,241.95,35.9,351.39,48.13,43.96,108.34,251.7,66.5667,97.17,210.18,55.27,198.89
17/01/2019,38.965,106.12,1693.22,1089.9,148.3,69.462,1099.12,151.72,90.4,244.4,35.91,353.19,48.47,44.21,109.22,255.33,66.1275,97.54,211.46,54.77,201.92
18/01/2019,39.205,107.71,1696.2,1098.26,150.04,60.452,1107.3,156.93,91.12,247.51,36.21,339.1,49.19,45.03,110.07,260.82,66.8362,99.42,213.59,55.27,203.88
19/01/2019,39.205,107.71,1696.2,1098.26,150.04,60.452,1107.3,156.93,91.12,247.51,36.21,339.1,49.19,45.03,110.07,260.82,66.8362,99.42,213.59,55.27,203.88
20/01/2019,39.205,107.71,1696.2,1098.26,150.04,60.452,1107.3,156.93,91.12,247.51,36.21,339.1,49.19,45.03,110.07,260.82,66.8362,99.42,213.59,55.27,203.88
